game_id,home_team,away_team,away_target,home_target,spread_line,total_line,away_score,home_score,spread,total,predicted,season,week
2021_05_NYJ_ATL,ATL,NYJ,21.25,24.25,3.0,45.5,20.0,27.0,7.0,47.0,3.7498162,2021,05
2021_05_PHI_CAR,CAR,PHI,21.75,24.25,2.5,46.0,21.0,18.0,-3.0,39.0,4.150558,2021,05
2021_05_SF_ARI,ARI,SF,21.25,27.25,6.0,48.5,10.0,17.0,7.0,27.0,1.623843,2021,05
2021_05_TEN_JAX,JAX,TEN,26.5,22.5,-4.0,49.0,37.0,19.0,-18.0,56.0,-9.176196,2021,05
2021_06_ARI_CLE,CLE,ARI,22.5,25.5,3.0,48.0,37.0,14.0,-23.0,51.0,6.961273,2021,06
2021_06_BUF_TEN,TEN,BUF,29.75,23.75,-6.0,53.5,31.0,34.0,3.0,65.0,-5.4878035,2021,06
2021_06_CIN_DET,DET,CIN,25.0,21.5,-3.5,46.5,34.0,11.0,-23.0,45.0,-1.8449025,2021,06
2021_06_DAL_NE,NE,DAL,27.0,23.5,-3.5,50.5,35.0,29.0,-6.0,64.0,-2.0575461,2021,06
2021_06_GB_CHI,CHI,GB,24.75,19.25,-5.5,44.0,24.0,14.0,-10.0,38.0,-2.4484606,2021,06
2021_06_HOU_IND,IND,HOU,16.5,27.0,10.5,43.5,3.0,31.0,28.0,34.0,9.663725,2021,06
2021_06_KC_WAS,WAS,KC,30.0,24.0,-6.0,54.0,31.0,13.0,-18.0,44.0,-3.2295685,2021,06
2021_06_LAC_BAL,BAL,LAC,23.75,26.75,3.0,50.5,6.0,34.0,28.0,40.0,7.465363,2021,06
2021_06_LA_NYG,NYG,LA,28.5,21.0,-7.5,49.5,38.0,11.0,-27.0,49.0,-9.223189,2021,06
2021_06_LV_DEN,DEN,LV,20.25,25.25,5.0,45.5,34.0,24.0,-10.0,58.0,-2.0552034,2021,06
2021_06_MIA_JAX,JAX,MIA,25.0,22.5,-2.5,47.5,20.0,23.0,3.0,43.0,-3.7637215,2021,06
2021_06_MIN_CAR,CAR,MIN,24.0,21.5,-2.5,45.5,34.0,28.0,-6.0,62.0,3.9802299,2021,06
2021_06_SEA_PIT,PIT,SEA,18.75,24.25,5.5,43.0,20.0,23.0,3.0,43.0,-6.8198967,2021,06
2021_06_TB_PHI,PHI,TB,30.0,23.0,-7.0,53.0,28.0,22.0,-6.0,50.0,-5.7587433,2021,06
